Timestep,Reward
70,-0.12317865560843735
71,-0.22351704319745264
72,-0.2191418857775872
73,-0.16486075358461608
74,-0.10777434864516501
75,-0.06374573848804613
76,-0.03513875121041348
77,-0.018528629688277693
78,-0.009424792718380053
79,-0.004653462996045179
80,-0.0022437663489025673
81,-0.2444555226168297
82,-0.28864975921845487
83,-0.38474551332796636
84,-0.4420864563517769
85,-0.4781210040464856
86,-0.4209407146331162
87,-0.3165368518941222
88,-0.25107909258077116
89,-0.1756865451334064
90,-0.6825785462507856
91,-0.07885512088023222
92,-0.12807763365475627
93,-0.1904811052564576
94,-0.18009910518193048
95,-0.1544343652863723
96,-0.12023696861169947
97,-0.08968138402980202
98,-0.05442705397412205
99,-0.030572544719058965
100,-0.6855098584683657
101,-0.17910015686828779
102,-0.07885650493861768
103,-0.14484465400362745
104,-0.12030289151155478
105,-0.06454560912643323
106,-0.03682091409797208
107,-0.03067100843828963
108,-0.02625567120602229
109,-0.028802275528949914
110,-0.636512586634545
111,-0.4874886877043419
112,-0.12001714453715862
113,-0.15897117764200772
114,-0.22147960677284037
115,-0.20223944830386575
116,-0.1142340818214921
117,-0.05727272638050984
118,-0.03560219700781544
119,-0.026299342381512714
120,-0.5644849973650493
121,-0.10689586091983275
122,-0.19588949576458953
123,-0.2743795365046831
124,-0.29517609819903545
125,-0.24720107930450105
126,-0.1982234865415853
127,-0.15540125770977192
128,-0.11858553292364848
129,-0.08824337518121679
130,-0.7938451353891972
131,-0.7118639126750737
132,-0.4739517440134886
133,-0.1434717812172562
134,-0.03916445804653473
135,-0.1361481750862058
136,-0.2148592767223728
137,-0.2878722083889544
138,-0.2987490774148769
139,-0.23313918471306813
140,-0.46155403227310543
141,-0.3453155993294413
142,-0.13326310355733945
143,-0.2322770564768413
144,-0.27031506991098625
145,-0.2843784515535906
